,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,37.8,37.8,36.15,36.85,37.4,37.05,27130,994657.9,2017-06-28,202,INE144J01027
1,20MICRONS,EQ,52.9,61.7,52.9,59.4,59.65,52.8,2489935,148126511.65,2017-11-28,14196,INE144J01027
2,20MICRONS,EQ,36.15,36.3,35.6,36.05,36.0,35.65,40594,1461975.35,2017-02-28,193,INE144J01027
3,20MICRONS,EQ,44.35,44.8,43.55,43.9,43.6,44.8,90170,3984351.95,2017-04-28,597,INE144J01027
4,20MICRONS,EQ,36.0,36.75,34.2,34.9,34.9,35.4,77310,2709787.95,2017-03-20,413,INE144J01027
5,20MICRONS,EQ,40.8,41.8,40.7,41.55,41.65,40.3,153277,6340591.3,2017-01-23,1008,INE144J01027
6,20MICRONS,EQ,43.2,43.4,40.95,41.2,41.0,42.65,75641,3161353.75,2017-05-12,518,INE144J01027
7,20MICRONS,EQ,35.25,35.6,35.0,35.1,35.1,35.15,49925,1757305.85,2017-03-28,185,INE144J01027
8,20MICRONS,EQ,43.1,44.5,42.9,43.25,43.05,42.95,157311,6899809.5,2017-04-20,917,INE144J01027
9,20MICRONS,EQ,35.0,35.0,34.1,34.5,34.75,34.6,13743,473999.3,2017-08-16,177,INE144J01027
10,20MICRONS,EQ,38.8,38.8,36.7,37.1,37.25,37.65,33772,1256760.7,2017-08-03,291,INE144J01027
11,20MICRONS,EQ,36.6,37.05,36.2,36.65,36.7,36.75,46760,1722162.5,2017-02-20,266,INE144J01027
12,20MICRONS,EQ,38.35,39.6,38.35,38.95,39.0,39.1,57024,2226077.75,2017-06-20,204,INE144J01027
13,20MICRONS,EQ,49.55,51.6,49.45,50.85,50.6,49.55,165285,8399868.2,2017-11-20,979,INE144J01027
14,20MICRONS,EQ,51.25,54.5,50.8,52.7,52.8,50.8,391186,20758360.2,2017-10-30,2880,INE144J01027
15,20MICRONS,EQ,45.15,46.75,43.5,45.9,45.5,44.2,317453,14369946.8,2017-10-25,1598,INE144J01027
16,20MICRONS,EQ,42.75,43.9,40.35,41.8,41.95,42.35,286890,12120066.4,2017-07-12,1224,INE144J01027
17,20MICRONS,EQ,39.05,39.65,38.9,39.05,39.0,39.0,20661,810041.65,2017-07-07,125,INE144J01027
18,20MICRONS,EQ,42.4,42.8,42.0,42.5,42.4,42.2,58298,2475191.9,2017-05-08,298,INE144J01027
19,20MICRONS,EQ,38.25,39.95,38.25,38.75,38.9,38.9,67161,2613650.15,2017-01-31,686,INE144J01027
20,20MICRONS,EQ,41.7,41.7,40.3,41.05,41.1,41.55,94420,3881057.0,2017-01-24,686,INE144J01027
21,20MICRONS,EQ,35.6,35.7,34.85,35.15,35.05,35.15,68453,2408132.35,2017-03-27,209,INE144J01027
22,20MICRONS,EQ,37.8,38.3,37.1,38.05,38.3,37.75,55965,2110223.9,2017-09-11,247,INE144J01027
23,20MICRONS,EQ,39.85,40.8,38.8,39.75,40.0,39.15,122248,4874045.85,2017-09-04,777,INE144J01027
24,20MICRONS,EQ,45.8,45.85,44.5,44.8,44.95,45.55,132748,5964154.05,2017-04-27,638,INE144J01027
25,20MICRONS,EQ,40.35,43.65,39.4,41.5,41.95,39.9,295617,12389641.25,2017-09-19,1701,INE144J01027
26,20MICRONS,EQ,41.75,42.35,40.7,41.7,41.8,41.2,40124,1676372.4,2017-05-15,303,INE144J01027
27,20MICRONS,EQ,52.25,54.2,51.65,52.8,52.7,51.9,305096,16232953.35,2017-11-27,1961,INE144J01027
28,20MICRONS,EQ,39.5,39.5,37.0,37.05,37.15,38.35,23486,877628.05,2017-06-27,206,INE144J01027
29,20MICRONS,EQ,35.9,36.4,35.55,35.65,35.55,35.9,37521,1343830.25,2017-02-27,170,INE144J01027
30,20MICRONS,EQ,37.45,37.9,36.5,36.7,36.6,37.1,37521,1387816.15,2017-08-04,290,INE144J01027
31,20MICRONS,EQ,34.2,34.9,33.1,33.85,34.45,34.95,41502,1404269.55,2017-08-11,244,INE144J01027
32,20MICRONS,EQ,60.3,61.7,58.8,59.1,59.4,59.95,348234,20992081.3,2017-12-22,1901,INE144J01027
33,20MICRONS,EQ,47.9,47.9,45.15,45.55,45.3,46.2,152666,7041051.2,2017-04-26,860,INE144J01027
34,20MICRONS,EQ,38.65,40.5,38.1,39.9,39.8,38.65,94583,3759199.4,2017-09-18,696,INE144J01027
35,20MICRONS,EQ,36.6,36.65,34.85,34.95,35.2,36.0,53280,1872399.8,2017-08-10,269,INE144J01027
36,20MICRONS,EQ,38.9,39.4,38.9,39.0,39.0,39.0,35721,1396921.75,2017-07-06,138,INE144J01027
37,20MICRONS,EQ,42.25,42.85,40.5,41.1,40.65,41.8,186308,7713499.25,2017-07-13,1018,INE144J01027
38,20MICRONS,EQ,42.6,44.8,42.0,44.2,44.3,41.8,273645,11915183.95,2017-10-24,1263,INE144J01027
39,20MICRONS,EQ,53.2,54.4,50.35,51.4,51.35,52.7,228471,11851587.35,2017-10-31,1937,INE144J01027
40,20MICRONS,EQ,34.8,34.95,34.1,34.3,34.35,34.55,21606,743666.45,2017-08-18,176,INE144J01027
41,20MICRONS,EQ,39.75,40.5,37.95,38.75,38.45,39.75,101846,3975484.25,2017-09-05,718,INE144J01027
42,20MICRONS,EQ,41.25,41.65,40.0,40.25,40.3,41.05,159913,6518319.5,2017-01-25,959,INE144J01027
43,20MICRONS,EQ,39.85,40.55,37.05,38.9,39.25,40.2,73281,2893031.7,2017-01-30,664,INE144J01027
44,20MICRONS,EQ,42.7,43.95,42.45,42.85,43.5,42.5,56144,2420433.85,2017-05-09,473,INE144J01027
45,20MICRONS,EQ,43.7,44.9,43.25,43.8,43.65,43.25,127717,5611369.65,2017-04-21,876,INE144J01027
46,20MICRONS,EQ,36.1,36.1,34.5,34.8,34.8,35.1,58623,2045949.3,2017-03-29,303,INE144J01027
47,20MICRONS,EQ,39.5,41.45,38.8,39.25,39.5,38.95,22209,871479.8,2017-06-21,192,INE144J01027
48,20MICRONS,EQ,51.2,54.0,51.2,52.2,52.5,50.85,474808,25071944.95,2017-11-21,2506,INE144J01027
49,20MICRONS,EQ,37.0,37.3,36.5,36.65,36.65,36.65,50146,1848288.7,2017-02-21,298,INE144J01027
50,20MICRONS,EQ,39.0,39.1,37.3,37.65,37.55,38.5,32154,1221595.95,2017-08-02,345,INE144J01027
51,20MICRONS,EQ,35.3,35.3,34.3,34.55,34.65,34.5,26384,917716.5,2017-08-17,212,INE144J01027
52,20MICRONS,EQ,40.5,42.4,40.5,41.8,41.7,41.35,52451,2180952.65,2017-10-23,420,INE144J01027
53,20MICRONS,EQ,41.4,41.4,39.5,39.75,39.65,41.1,128698,5156707.95,2017-07-14,478,INE144J01027
54,20MICRONS,EQ,37.8,38.7,37.2,38.05,38.2,36.85,29271,1112195.0,2017-06-29,193,INE144J01027
55,20MICRONS,EQ,60.5,63.6,59.0,59.6,59.25,59.4,1002540,61616022.35,2017-11-29,6219,INE144J01027
56,20MICRONS,EQ,35.75,35.75,34.5,34.65,34.6,34.9,18571,646155.9,2017-03-21,232,INE144J01027
57,20MICRONS,EQ,59.55,63.8,58.5,62.7,62.6,59.1,1190872,74353498.75,2017-12-26,7357,INE144J01027
